Time           Event Type     Request ID     Core ID   Service Time   Remaining Time 
5465.7         Departure      101            2         161.228        0              
5473.18        Quantum_done   150            3         162.182        72.1824        
5479.09        Quantum_done   149            1         160.073        70.0735        
5535.32        Departure      108            0         158.625        0              
5541.44        Departure      105            2         160.734        0              
5549.37        Departure      102            3         161.19         0              
5553.43        Departure      103            1         159.338        0              
5611.61        Departure      112            0         161.287        0              
5617.3         Departure      109            2         160.867        0              
5625.32        Departure      106            3         160.959        0              
5627.65        Departure      107            1         159.222        0              
5687.95        Departure      116            0         161.341        0              
5690.62        Departure      113            2         158.314        0              
5701.38        Departure      110            3         161.059        0              
5702.7         Departure      111            1         160.046        0              
5763.02        Departure      120            0         160.076        0              
5766.14        Departure      117            2         160.517        0              
5775.58        Departure      114            3         159.196        0              
5778.64        Departure      115            1         160.938        0              
5839.35        Departure      124            0         161.331        0              
5840.62        Departure      122            2         159.486        0              
5849.67        Departure      118            3         159.087        0              
5853.02        Departure      119            1         159.383        0              
5914.24        Departure      126            0         159.89         0              
5915.73        Departure      127            2         160.11         0              
5924.69        Departure      121            3         160.026        0              
5929.19        Departure      123            1         161.167        0              
5988.31        Departure      130            2         157.577        0              
5989.66        Departure      131            0         160.421        0              
5999.21        Departure      125            3         159.515        0              
6063.02        Arrival        152            2         159.812        159.812        
6065.19        Arrival        180            0         160.182        160.182        
6074.03        Arrival        178            3         161.343        161.343        
6004.27        Arrival        158            1         159.934        159.934        
6063.02        Arrival        162            2         159.353        159.353        
6065.19        Arrival        157            0         159.619        159.619        
6074.03        Arrival        175            3         161.084        161.084        
6004.27        Arrival        168            1         159.746        159.746        
6063.02        Arrival        161            2         161.725        161.725        
6004.27        Departure      128            1         160.084        0              
6065.19        Arrival        177            0         160.649        160.649        
6074.03        Arrival        179            3         160.247        160.247        
6079.69        Arrival        163            1         159.71         159.71         
6063.02        Arrival        169            2         160.332        160.332        
6065.19        Arrival        172            0         159.253        159.253        
6074.03        Arrival        154            3         160.009        160.009        
6079.69        Arrival        151            1         161.092        161.092        
6063.02        Arrival        160            2         161.158        161.158        
6065.19        Arrival        164            0         159.534        159.534        
6074.03        Arrival        167            3         160.874        160.874        
6079.69        Arrival        173            1         160.853        160.853        
6065.19        Arrival        165            0         160.03         160.03         
6063.02        Arrival        153            2         160.261        160.261        
6074.03        Arrival        155            3         161.723        161.723        
6079.69        Arrival        159            1         160.111        160.111        
6065.19        Arrival        156            0         160.659        160.659        
6063.02        Arrival        171            2         160.352        160.352        
6074.03        Arrival        174            3         159.544        159.544        
6079.69        Arrival        176            1         159.417        159.417        
6065.19        Arrival        166            0         161.049        161.049        
6063.02        Arrival        170            2         160.79         160.79         
6063.02        Departure      134            2         159.712        0              
6065.19        Departure      135            0         160.527        0              
6074.03        Departure      129            3         159.821        0              
6079.69        Departure      132            1         160.422        0              
6138.37        Departure      138            2         160.345        0              
6138.73        Departure      139            0         158.538        0              
6148.9         Departure      133            3         159.868        0              
6153.54        Departure      136            1         158.85         0              
6213.59        Departure      144            0         159.859        0              
6213.61        Departure      143            2         160.246        0              
6224.42        Departure      137            3         160.528        0              
6228.1         Departure      140            1         159.553        0              
6289.04        Departure      148            0         160.452        0              
6289.94        Departure      147            2         161.326        0              
6300.04        Departure      141            3         160.613        0              
6302.58        Departure      142            1         159.486        0              
6375.02        Departure      145            3         159.984        0              
6377.47        Departure      146            1         159.888        0              
6384.04        Quantum_done   180            0         160.182        70.1824        
6384.94        Quantum_done   152            2         159.812        69.8116        
6452.2         Departure      150            3         162.182        0              
6452.54        Departure      149            1         160.073        0              
6479.04        Quantum_done   157            0         159.619        69.6188        
6479.94        Quantum_done   162            2         159.353        69.3531        
6547.2         Quantum_done   178            3         161.343        71.3427        
6547.54        Quantum_done   158            1         159.934        69.9342        
